epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0512,0.86717,2.37599,1.19246,0.98409,0.89655,0.98855,0.76494,0.75806,1.40434,0.82131,0.00038,0.00038,0.00038
2,15.7827,0.75095,1.03073,1.04439,0.99756,1,0.995,0.87196,0.52822,0.6464,0.80195,0.00062556,0.00062556,0.00062556
3,24.8369,0.65871,0.76592,1.04573,0.99768,1,0.995,0.87683,0.48919,0.57967,0.80668,0.00071272,0.00071272,0.00071272
4,39.2004,0.62562,0.703,1.0416,0.99807,1,0.995,0.92871,0.44733,0.53924,0.78981,0.00064148,0.00064148,0.00064148
5,53.2211,0.63162,0.68791,1.02239,0.99806,1,0.995,0.92661,0.37483,0.50332,0.76606,0.00041184,0.00041184,0.00041184
